# x, sinc(x)
-1.535535535535535523e+01,2.249029296655067831e-02
-1.531531531531531520e+01,2.498389271721586369e-02
-1.527527527527527518e+01,2.745041115121913539e-02
-1.523523523523523515e+01,2.988577580609346959e-02
-1.519519519519519513e+01,3.228594220259634745e-02
-1.515515515515515510e+01,3.464690031894097216e-02
-1.511511511511511507e+01,3.696468104385110254e-02
-1.507507507507507505e+01,3.923536259840760404e-02
-1.503503503503503502e+01,4.145507691665658440e-02
-1.499499499499499500e+01,4.362001597496593941e-02
-1.495495495495495497e+01,4.572643806014936585e-02
-1.491491491491491495e+01,4.777067396642431518e-02
-1.487487487487487492e+01,4.974913311133315197e-02
-1.483483483483483489e+01,5.165830956083483638e-02
-1.479479479479479487e+01,5.349478795386740371e-02
-1.475475475475475484e+01,5.525524931679016288e-02
-1.471471471471471482e+01,5.693647675823728521e-02
-1.467467467467467479e+01,5.853536103505316279e-02
-1.463463463463463476e+01,6.004890598013217645e-02
-1.459459459459459474e+01,6.147423378315363535e-02
-1.455455455455455471e+01,6.280859011538363068e-02
-1.451451451451451469e+01,6.404934908991231912e-02
-1.447447447447447466e+01,6.519401804890423424e-02
-1.443443443443443464e+01,6.624024216966335754e-02
-1.439439439439439461e+01,6.718580888155117892e-02
-1.435435435435435458e+01,6.802865208604594316e-02
-1.431431431431431456e+01,6.876685617249425619e-02
-1.427427427427427453e+01,6.939865982238113684e-02
-1.423423423423423451e+01,6.992245959523157861e-02
-1.419419419419419448e+01,7.033681328955607159e-02
-1.415415415415415445e+01,7.064044307256207855e-02
-1.411411411411411443e+01,7.083223837267448031e-02
-1.407407407407407440e+01,7.091125852923996220e-02
-1.403403403403403438e+01,7.087673519413065226e-02
-1.399399399399399435e+01,7.072807448031395716e-02
-1.395395395395395433e+01,7.046485885281501826e-02
-1.391391391391391430e+01,7.008684875786629076e-02
-1.387387387387387427e+01,6.959398398641562788e-02
-1.383383383383383425e+01,6.898638476854739021e-02
-1.379379379379379422e+01,6.826435259576213443e-02
-1.375375375375375420e+01,6.742837076845729916e-02
-1.371371371371371417e+01,6.647910466635420512e-02
-1.367367367367367414e+01,6.541740174002455555e-02
-1.363363363363363412e+01,6.424429122208238918e-02
-1.359359359359359409e+01,6.296098355702411942e-02
-1.355355355355355229e+01,6.156886954911908183e-02
-1.351351351351351227e+01,6.006951922817683337e-02
-1.347347347347347224e+01,5.846468043344051763e-02
-1.343343343343343221e+01,5.675627711628508654e-02
-1.339339339339339219e+01,5.494640736282432186e-02
-1.335335335335335216e+01,5.303734113795958993e-02
-1.331331331331331214e+01,5.103151775283071984e-02
-1.327327327327327211e+01,4.893154305805591520e-02
-1.323323323323323208e+01,4.674018636557236706e-02
-1.319319319319319206e+01,4.446037710231225126e-02
