# x, f(x), root1, root2
-1.222807017543859587e+01,-1.845614035087719174e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.214285714285714235e+01,-1.828571428571428470e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.205764411027568883e+01,-1.811528822055137766e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.197243107769423531e+01,-1.794486215538847063e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.188721804511278179e+01,-1.777443609022556359e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.180200501253132828e+01,-1.760401002506265655e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.171679197994987476e+01,-1.743358395989974952e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.163157894736842124e+01,-1.726315789473684248e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.154636591478696772e+01,-1.709273182957393544e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.146115288220551420e+01,-1.692230576441102841e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.137593984962406068e+01,-1.675187969924812137e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.129072681704260717e+01,-1.658145363408521433e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.120551378446115365e+01,-1.641102756892230730e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.112030075187970013e+01,-1.624060150375940026e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.103508771929824661e+01,-1.607017543859649322e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.094987468671679309e+01,-1.589974937343358619e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.086466165413533957e+01,-1.572932330827067915e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.077944862155388606e+01,-1.555889724310777211e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.069423558897243254e+01,-1.538847117794486508e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.060902255639097902e+01,-1.521804511278195804e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.052380952380952372e+01,-1.504761904761904745e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.043859649122807021e+01,-1.487719298245614041e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.035338345864661669e+01,-1.470676691729323338e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.026817042606516317e+01,-1.453634085213032634e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.018295739348370965e+01,-1.436591478696741930e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.009774436090225613e+01,-1.419548872180451227e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-1.001253132832080261e+01,-1.402506265664160523e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.927318295739349097e+00,-1.385463659147869819e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.842105263157895578e+00,-1.368421052631579116e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.756892230576440284e+00,-1.351378446115288057e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.671679197994986765e+00,-1.334335839598997353e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.586466165413533247e+00,-1.317293233082706649e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.501253132832079729e+00,-1.300250626566415946e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.416040100250626210e+00,-1.283208020050125242e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.330827067669172692e+00,-1.266165413533834538e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.245614035087719174e+00,-1.249122807017543835e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.160401002506265655e+00,-1.232080200501253131e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
-9.075187969924812137e+00,-1.215037593984962427e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
