# x, f(x)
-4.816816816816817060e+00,4.830178429714346994e-02
-4.792792792792792689e+00,4.865151376552015461e-02
-4.768768768768769206e+00,4.900200781539661155e-02
-4.744744744744744835e+00,4.935324657820861632e-02
-4.720720720720720465e+00,4.970520996173988237e-02
-4.696696696696696982e+00,5.005787765142841184e-02
-4.672672672672672611e+00,5.041122911172237625e-02
-4.648648648648649129e+00,5.076524358748560339e-02
-4.624624624624624758e+00,5.111990010545280905e-02
-4.600600600600600387e+00,5.147517747573446961e-02
-4.576576576576576905e+00,5.183105429337157843e-02
-4.552552552552552534e+00,5.218750893994004297e-02
-4.528528528528528163e+00,5.254451958520486854e-02
-4.504504504504504681e+00,5.290206418882404532e-02
-4.480480480480480310e+00,5.326012050210232607e-02
-4.456456456456456827e+00,5.361866606979431849e-02
-4.432432432432432456e+00,5.397767823195764175e-02
-4.408408408408408086e+00,5.433713412585518959e-02
-4.384384384384384603e+00,5.469701068790721460e-02
-4.360360360360360232e+00,5.505728465569262320e-02
-4.336336336336336750e+00,5.541793256999948819e-02
-4.312312312312312379e+00,5.577893077692493151e-02
-4.288288288288288008e+00,5.614025543002375968e-02
-4.264264264264264526e+00,5.650188249250618494e-02
-4.240240240240240155e+00,5.686378773948413956e-02
-4.216216216216216672e+00,5.722594676026624555e-02
-4.192192192192192302e+00,5.758833496070098895e-02
-4.168168168168167931e+00,5.795092756556819574e-02
-4.144144144144144448e+00,5.831369962101838611e-02
-4.120120120120120077e+00,5.867662599705987525e-02
-4.096096096096096595e+00,5.903968139009330152e-02
-4.072072072072072224e+00,5.940284032549352639e-02
-4.048048048048047853e+00,5.976607716023826095e-02
-4.024024024024024371e+00,6.012936608558358542e-02
-4.000000000000000000e+00,6.049268112978584133e-02
-3.975975975975975629e+00,6.085599616086940361e-02
-3.951951951951951258e+00,6.121928488944045760e-02
-3.927927927927928664e+00,6.158252087154605925e-02
-3.903903903903904293e+00,6.194567751157837449e-02
-3.879879879879879923e+00,6.230872806522348012e-02
-3.855855855855855552e+00,6.267164564245464309e-02
-3.831831831831831181e+00,6.303440321056953677e-02
-3.807807807807808587e+00,6.339697359727092252e-02
-3.783783783783784216e+00,6.375932949379065073e-02
-3.759759759759759845e+00,6.412144345805612100e-02
-3.735735735735735474e+00,6.448328791789917358e-02
-3.711711711711711104e+00,6.484483517430678079e-02
-3.687687687687688509e+00,6.520605740471305256e-02
-3.663663663663664138e+00,6.556692666633218147e-02
-3.639639639639639768e+00,6.592741489953152234e-02
-3.615615615615615397e+00,6.628749393124484801e-02
-3.591591591591591026e+00,6.664713547842476826e-02
-3.567567567567568432e+00,6.700631115153388162e-02
-3.543543543543544061e+00,6.736499245807452130e-02
-3.519519519519519690e+00,6.772315080615572136e-02
-3.495495495495495319e+00,6.808075750809777782e-02
-3.471471471471470949e+00,6.843778378407298912e-02
-3.447447447447448354e+00,6.879420076578265930e-02
-3.423423423423423984e+00,6.914997950016929518e-02
-3.399399399399399613e+00,6.950509095316342867e-02
-3.375375375375375242e+00,6.985950601346477273e-02
-3.351351351351350871e+00,7.021319549635661461e-02
-3.327327327327328277e+00,7.056613014755314106e-02
-3.303303303303303906e+00,7.091828064707887680e-02
-3.279279279279279535e+00,7.126961761317940347e-02
-3.255255255255255165e+00,7.162011160626310935e-02
-3.231231231231230794e+00,7.196973313287273466e-02
-3.207207207207206423e+00,7.231845264968647657e-02
-3.183183183183183829e+00,7.266624056754752981e-02
-3.159159159159159458e+00,7.301306725552171584e-02
-3.135135135135135087e+00,7.335890304498191017e-02
-3.111111111111110716e+00,7.370371823371930919e-02
-3.087087087087086346e+00,7.404748309007992690e-02
-3.063063063063063751e+00,7.439016785712615487e-02
-3.039039039039039380e+00,7.473174275682230305e-02
-3.015015015015015010e+00,7.507217799424337201e-02
-2.990990990990990639e+00,7.541144376180632103e-02
-2.966966966966966268e+00,7.574951024352297169e-02
-2.942942942942943674e+00,7.608634761927372814e-02
-2.918918918918919303e+00,7.642192606910135078e-02
-2.894894894894894932e+00,7.675621577752357594e-02
-2.870870870870870561e+00,7.708918693786454002e-02
-2.846846846846846191e+00,7.742080975660305120e-02
-2.822822822822823596e+00,7.775105445773794477e-02
-2.798798798798799226e+00,7.807989128716881500e-02
-2.774774774774774855e+00,7.840729051709158237e-02
-2.750750750750750484e+00,7.873322245040810519e-02
-2.726726726726726113e+00,7.905765742514873906e-02
-2.702702702702703519e+00,7.938056581890695629e-02
-2.678678678678679148e+00,7.970191805328534496e-02
-2.654654654654654777e+00,8.002168459835162784e-02
-2.630630630630630407e+00,8.033983597710428470e-02
-2.606606606606606036e+00,8.065634276994647356e-02
-2.582582582582583441e+00,8.097117561916747364e-02
-2.558558558558559071e+00,8.128430523343080361e-02
-2.534534534534534700e+00,8.159570239226764110e-02
-2.510510510510510329e+00,8.190533795057523825e-02
-2.486486486486485958e+00,8.221318284311877889e-02
-2.462462462462463364e+00,8.251920808903617788e-02
-2.438438438438438993e+00,8.282338479634444861e-02
-2.414414414414414622e+00,8.312568416644700031e-02
-2.390390390390390252e+00,8.342607749864065780e-02
-2.366366366366365881e+00,8.372453619462168206e-02
-2.342342342342343287e+00,8.402103176298943155e-02
-2.318318318318318916e+00,8.431553582374717859e-02
-2.294294294294294545e+00,8.460802011279849877e-02
-2.270270270270270174e+00,8.489845648643880305e-02
-2.246246246246245803e+00,8.518681692584070819e-02
-2.222222222222221433e+00,8.547307354153231562e-02
-2.198198198198198838e+00,8.575719857786737177e-02
-2.174174174174174468e+00,8.603916441748651889e-02
-2.150150150150150097e+00,8.631894358576817916e-02
-2.126126126126125726e+00,8.659650875526866964e-02
-2.102102102102101355e+00,8.687183275015006312e-02
-2.078078078078078761e+00,8.714488855059503158e-02
-2.054054054054054390e+00,8.741564929720772870e-02
-2.030030030030030019e+00,8.768408829539933724e-02
-2.006006006006005649e+00,8.795017901975782371e-02
-1.981981981981981278e+00,8.821389511840049824e-02
-1.957957957957958683e+00,8.847521041730856128e-02
-1.933933933933934313e+00,8.873409892464258208e-02
-1.909909909909909942e+00,8.899053483503789608e-02
-1.885885885885885571e+00,8.924449253387904679e-02
-1.861861861861861200e+00,8.949594660155212045e-02
-1.837837837837838606e+00,8.974487181767415445e-02
-1.813813813813814235e+00,8.999124316529853729e-02
-1.789789789789789864e+00,9.023503583509530357e-02
-1.765765765765765494e+00,9.047622522950575508e-02
-1.741741741741741123e+00,9.071478696686988141e-02
-1.717717717717718529e+00,9.095069688552606668e-02
-1.693693693693694158e+00,9.118393104788197201e-02
-1.669669669669669787e+00,9.141446574445545592e-02
-1.645645645645645416e+00,9.164227749788488031e-02
-1.621621621621621046e+00,9.186734306690759466e-02
-1.597597597597598451e+00,9.208963945030594622e-02
-1.573573573573574080e+00,9.230914389081953941e-02
-1.549549549549549710e+00,9.252583387902298118e-02
-1.525525525525525339e+00,9.273968715716837674e-02
-1.501501501501500968e+00,9.295068172299117415e-02
-1.477477477477478374e+00,9.315879583347899673e-02
-1.453453453453454003e+00,9.336400800860228388e-02
-1.429429429429429632e+00,9.356629703500567163e-02
-1.405405405405405261e+00,9.376564196965955778e-02
-1.381381381381380891e+00,9.396202214347094961e-02
-1.357357357357358296e+00,9.415541716485233137e-02
-1.333333333333333925e+00,9.434580692324828766e-02
-1.309309309309309555e+00,9.453317159261843960e-02
-1.285285285285285184e+00,9.471749163487622192e-02
-1.261261261261260813e+00,9.489874780328268200e-02
-1.237237237237238219e+00,9.507692114579416320e-02
-1.213213213213213848e+00,9.525199300836337257e-02
-1.189189189189189477e+00,9.542394503819286167e-02
-1.165165165165165106e+00,9.559275918694024043e-02
-1.141141141141140736e+00,9.575841771387418044e-02
-1.117117117117116365e+00,9.592090318898061074e-02
-1.093093093093093771e+00,9.608019849601819040e-02
-1.069069069069069400e+00,9.623628683552251650e-02
-1.045045045045045029e+00,9.638915172775797124e-02
-1.021021021021020658e+00,9.653877701561697222e-02
-9.969969969969962875e-01,9.668514686746536302e-02
-9.729729729729736931e-01,9.682824577993379145e-02
-9.489489489489493224e-01,9.696805858065402073e-02
-9.249249249249249516e-01,9.710457043093942420e-02
-9.009009009009005808e-01,9.723776682840952479e-02
-8.768768768768762101e-01,9.736763360955719149e-02
-8.528528528528536157e-01,9.749415695225861767e-02
-8.288288288288292449e-01,9.761732337822477679e-02
-8.048048048048048742e-01,9.773711975539421670e-02
-7.807807807807805034e-01,9.785353330026642926e-02
